12:  Anarchism
1591:  Alexander II of Russia
1592:  Alexander III of Russia
1593:  Alexander I of Scotland
1594:  Alexander II of Scotland
1595:  Alexander I of Serbia
1596:  Alexander III of Scotland
1597:  Alexander of Greece
1599:  Alexander of Aphrodisias
1600:  Alexander Severus
1601:  Alexander
1602:  Alexander I
1603:  Alexander II
1604:  Alexander III
1605:  Alexander Aetolus
1606:  Alexander Jannaeus
1607:  Alexander IV
1610:  Alexander VII
1611:  Alexander VIII
1612:  Alexandrists
1613:  Alexios I Komnenos
1614:  Alexis
1615:  Alexios II Komnenos
1616:  Alexios III Angelos
1617:  Alexios V Doukas
1620:  Alexei Petrovich, Tsarevich of Russia
1623:  Andrew Jackson
1624:  Andrew Johnson
1625:  Aleksandr Solzhenitsyn
1627:  Aberdeen
1628:  August 23
1629:  August 24
1633:  Antipope
1634:  Aquaculture
1635:  Kolmogorov complexity
1637:  Hymn to Proserpine
1638:  The Triumph of Time
1639:  April 28
1640:  Alfred the Great
1642:  Alessandro Algardi
1643:  Alger of Liège
1644:  Algiers
1645:  Ibn al-Haytham
1647:  Alessandro Allori
1649:  Almoravid dynasty
1650:  Aloe
1652:  Alyattes II
1653:  Age of consent
1654:  Alypius of Antioch
1655:  Amalasuntha
1656:  Amalric of Bena
1657:  Afonso I of Portugal
1658:  Afonso II of Portugal
1659:  Afonso III of Portugal
1660:  Afonso IV of Portugal
1661:  Afonso V of Portugal
1662:  Afonso VI of Portugal
1663:  Alphonso I of Spain
1664:  Alfonso II of Asturias
1665:  Alphonso III of Spain
1667:  Alphonso IV of Spain
1669:  Amara Sinha
1676:  Alfonso XII of Spain
1677:  Alfonso XIII of Spain
1679:  Alfonso the Battler
1680:  Amaryllis
1683:  Alfonso III of Aragon
1684:  Alfonso IV of Aragon
1685:  Amasis II
1686:  Alfonso V of Aragon
1687:  Amathus
1688:  Alfonso
1689:  Alfonso I
1690:  Amati
1691:  Alfonso II
1692:  Alfonso III
1694:  Alfonso IV
1695:  Amazons
1696:  Alfonso V
1697:  Ambergris
1698:  Ambiorix
1699:  Alfonso VI
1700:  August Wilhelm Ambros
1701:  Amazon River
1702:  Alured of Beverley
1710:  April 22
1711:  August 31
1714:  Autpert Ambrose
1715:  Abu Bakr
1716:  Ambrose the Camaldulian
1717:  Ambrosians
1718:  Ambrosiaster
1719:  Ambrosius Aurelianus
1722:  Ammon
1723:  Ammonius Hermiae
1724:  Ammonius Saccas
1725:  Amorites
1727:  Amphipolis
1728:  Amram
1729:  Amyntas I of Macedon
1730:  Amyntas III of Macedon
1732:  Anacharsis
1734:  Anah
1735:  Ananda
1736:  Ananias
1738:  Anaxarchus
1740:  Ancyra (genus)
1742:  Anastasius I
1743:  Anastasius II
1746:  Anaximenes of Lampsacus
1747:  Anastasius
1748:  Anaximenes of Miletus
1749:  Ancus Marcius
1750:  Andaman Islands
1751:  Alexander Anderson (mathematician)
1752:  Andocides
1754:  Andrea Andreani
1755:  Andrew II of Hungary
1756:  An Enquiry concerning Human Understanding
1758:  André de Longjumeau
1759:  Andriscus
1760:  Andronikos III Palaiologos
1761:  Andronikos II Palaiologos
1762:  Andronikos I Komnenos
1763:  Andronicus of Cyrrhus
1764:  Andronicus of Rhodes
1765:  Andronicus
1767:  Ammianus Marcellinus
1769:  An Enquiry Concerning Human Understanding/Text
1773:  Apollo 7
1774:  Apollo 9
1776:  Arthritis
1777:  April 2
1778:  Acetylene
1779:  Alfred
1781:  August 28
1783:  Aisha
1784:  Athenian democracy
1786:  Arabic numerals
1787:  April 9
1788:  ABM
1789:  Apuleius
1790:  Alexander Selkirk
1791:  Anti-ballistic missile
1793:  August 29
1794:  August 30
1797:  Acre
1799:  ATP
1800:  Adenosine triphosphate
1802:  Ægir
1805:  Antibiotic
1806:  Arnold Schwarzenegger
1807:  ASA
1810:  Actium
1812:  Amway
1814:  Adam Smith
1822:  Antoine Lavoisier
1825:  Adolph Wilhelm Hermann Kolbe
1826:  April 18
1827:  April 23
1828:  Amitabh Bachchan
1830:  Air Pollution
1832:  Allomorph
1834:  Allophone
1835:  Affix
1837:  Allegory
1839:  Allotropy
1840:  Agathocles
1841:  Economy of Alberta
1842:  Augustin Louis Cauchy
1844:  Archimedes
1845:  Alternative medicine
1847:  Archimedean solid
1851:  Antiprism
1853:  Ecology of Africa
1854:  Geography of Africa
1857:  Approval voting
1859:  Arizona State University
1862:  April 14
1864:  Astoria, Oregon
1866:  Alarums and Excursions
1869:  Alfred Jarry
1870:  Amalric
1871:  Amalric I of Jerusalem
1872:  Amalric II of Jerusalem
1873:  Anthemius of Tralles
1874:  Absalon
1875:  Adhemar of Le Puy
1876:  Adhemar de Chabannes
1878:  Alfonso, Count of Poitou
1879:  Alfonso Jordan
1880:  Ambroise
1881:  Art Deco
1884:  ASCII art
1887:  Alexius
1890:  American English
1893:  Albert Spalding
1894:  Africa Alphabet
1896:  Acquire
1897:  Australian English
1898:  ANZAC (disambiguation)
1902:  American Airlines Flight 77
1905:  Ambush
1908:  Abzyme
1909:  Adaptive radiation
1910:  Agarose gel electrophoresis
1911:  Allele
1912:  Ampicillin
1913:  Annealing
1914:  Antibiotic resistance
1915:  Antigen
1916:  Autosome
1919:  Antwerp (disambiguation)
1920:  Aquila
1921:  Al-Qaeda
1923:  Alessandro Volta
1924:  Argo Navis
1925:  Andromeda (mythology)
1926:  Antlia
1927:  Ara (constellation)
1928:  Auriga
1930:  Arkansas
1931:  Atmosphere (disambiguation)
1933:  Apus
1934:  Abadan
1935:  Attorney
1937:  Alexander Fleming
1938:  Andrew Carnegie
1939:  Approximant consonant
1940:  Astronomer Royal
1941:  Aeon
1942:  Airline
1943:  Australian Democrats
1944:  Australian Capital Territory
1945:  Animaniacs
1946:  Unit of alcohol
1947:  Aotus
1948:  Ally McBeal
1949:  Andreas Capellanus
1950:  American Civil Liberties Union
1951:  Aslan
1952:  AT bus architecture
1957:  Alexander Technique
1960:  Andrea Alciato
1961:  Arizona
1962:  Apparent magnitude
1963:  Absolute magnitude
1965:  Apollo 1
1966:  Apollo 10
1967:  Apollo 12
1968:  Apollo 14
1969:  Apollo 15
1970:  Apollo 16
1971:  Apollo 17
1973:  American Revolution
1974:  April 17
1975:  Alan Ayckbourn
1976:  Adamnan
1979:  Alpha Centauri
1980:  Amiga
1981:  Asbestos
1985:  Absorption
1986:  Actinophryid
1988:  Abel Tasman
1990:  August 5
1991:  Angula
1994:  ASP
1997:  Algebraic geometry
1998:  Austin, Texas
2003:  Argument from morality
2004:  ASL
2006:  Auschwitz concentration camp
2007:  Archery
2009:  Alvar Aalto
2011:  American and British English differences
2014:  Atomic semantics
2015:  Antarctic Circumpolar Current
2017:  Arbor Day
2018:  Alfred Ayer
2019:  André Weil
2020:  Achaeans
2021:  Atle Selberg
2023:  Aeschylus
2024:  Amber Road
2025:  Atlantic Baptist University
2026:  American Telephone &amp; Telegraph
2027:  Andrew Wiles
2028:  Ambient
2029:  Anne Brontë
2030:  Augustine of Hippo
2032:  Acting
2037:  Delian League
2038:  August Horch
2039:  Avionics
2041:  Ares
2042:  Alexander Grothendieck
2047:  Alcoholics Anonymous
2049:  Alpha compositing
2052:  Array
2053:  Advance Australia Fair
2057:  Aikidoka
2061:  Automatic number announcement circuit
2062:  Amerigo Vespucci
2063:  Aristide Maillol
2064:  Antonio Canova
2065:  Auguste Rodin
2067:  Ann Arbor, Michigan
2070:  Act of Settlement 1701
2075:  Aircraft hijacking
2076:  Acropolis of Athens
2077:  Adam Weishaupt
2078:  Acorn Electron
2080:  A Fire Upon the Deep
2082:  Aeronautics
2083:  Auguste and Louis Lumière
2084:  Acts of the Apostles
2085:  Assyria
2086:  Abijah
2087:  Ark
2088:  Aphasia
2089:  Aorta
2093:  Abimelech
2094:  Anomalous cognition
2099:  Andrew Tridgell
2100:  Applesoft BASIC
2101:  Asterix
2102:  Arizona Cardinals
2103:  Atlanta Falcons
2104:  Ásatrú
2106:  Ansible
2108:  Adalbert of Prague
2110:  Alphege
2112:  Associative algebra
2113:  Axiom of regularity
2114:  IBM AIX (operating system)
2115:  AppleTalk
2116:  Apple II series
2117:  Apple III
2118:  AVL tree
2120:  Aliphatic compound
2122:  Astrology
2123:  Abyssinia
2125:  Algebraic extension
2126:  Ani DiFranco
2127:  Arene (disambiguation)
2129:  Arizona Diamondbacks
2130:  Aesthetics
2134:  Ark of the Covenant
2136:  Angles
2137:  Aster CT-80
2138:  Arthur Wellesley
2139:  List of animated television series
2140:  Atlanta Braves
2141:  Atari ST
2142:  List of artificial intelligence projects
2144:  Aaliyah
2147:  Armour
2148:  Armoured fighting vehicle
2151:  Anton Drexler
2152:  All Quiet on the Western Front
2153:  Academic elitism
2154:  African American
2161:  Artistic License
2162:  Afrikaans
2163:  Aeolus
2164:  Autrefois convict
2166:  ABC
2167:  Alford plea
2170:  ABCD
2171:  Anti-realism
2174:  Arsenal F.C.
2175:  Cuisine of the United States
2176:  Ahmad Shah Massoud
2178:  Atlantis
2179:  Autobiography
2180:  Arcadius
2185:  Arab
2186:  Armadillo
2187:  Antisemitism in the Arab world
2192:  August 11
2193:  Arcology
2194:  April 5
2195:  April 20
2196:  April 19
2197:  Amstrad CPC
2198:  Abdulaziz al-Omari
2199:  Anselm of Canterbury
2201:  Aage Niels Bohr
2202:  Analytic geometry
2203:  Religious denominations in Poland
2204:  Arabic alphabet
2207:  Angels in art
2208:  Arctic Fox
2209:  Anglo-Saxon (disambiguation)
2210:  Folklore of the United States
2215:  Sid Meier's Alpha Centauri
2216:  Abu Sayyaf
2217:  Armenian language
2218:  Additive synthesis
2219:  Aircraft carrier
2221:  Apicomplexa
2222:  Cuisine of Argentina
2224:  April 8
2226:  Ad hominem
2227:  A fortiori
2230:  Analysis of algorithms
2233:  Ælle of Sussex
2234:  Atari
2235:  Afghan
2236:  Acadia University
2237:  Steel-string acoustic guitar
2238:  Antipope John XXIII
2241:  Antonio Salieri
2242:  Activism
2243:  Atomic clock
2244:  Cobble Hill Tunnel
2245:  Annapolis Valley
2246:  Analgesic
2250:  Abiotic stress
2251:  Accusative case
2257:  Apostolic Succession
2259:  Alex
2264:  Anglo-Saxon monarchs
2268:  Ascorbic acid
2273:  AFC Ajax
2274:  Arthur Stanley Eddington
2279:  April 3
2282:  Alexis Korner
2284:  Assault gun
2286:  Tank destroyer
2287:  Armored car (military)
2288:  Self-propelled anti-aircraft weapon
2289:  AZ (football club)
2290:  Autochthones
2296:  Adrenal gland
2299:  American Media (publisher)
2303:  Aramaic language
2304:  Titus (Biblical)
2308:  Actinoid
2310:  Arthur Miller
2313:  Anton Diabelli
2314:  Anita Hill
2315:  August 10
2316:  Audio file format
2319:  Antipope Victor IV
2321:  Area 51
2322:  Audio signal processing
2323:  Amdahl's law
2326:  April 27
2328:  Ayahuasca
2330:  Abbe number
2331:  ACN
2332:  AD (disambiguation)
2333:  Ablative case
2335:  Adamic language
2338:  Rise and Fall of the City of Mahagonny
2339:  Avery Hopwood
2340:  Antipope Felix II
2341:  Alkaloid
2343:  Adventism
2345:  Archbishop of Canterbury
2346:  Albion, Michigan
2348:  Anointing of the Sick
2349:  Abstract data type
2356:  List of architecture topics
2357:  American Football League
2358:  A.S. Roma
2362:  Antibody
2363:  Alessandro Scarlatti
2368:  Anglo-Saxon Chronicle
2369:  Aston Martin
2371:  Albert Pike
2372:  ALF Tales
2376:  Abdul Rashid Dostum
2377:  Andhra Pradesh
2379:  Asymmetrical relationship
2381:  Andreas Aagesen
2382:  Aalen
2383:  Alois Alzheimer
2384:  Aedile
2386:  American Airlines
2388:  Antidepressant
2389:  Auger effect
2391:  Akio Morita
2392:  Anode
2393:  Analog television
2395:  April 11
2396:  Adhesive
2397:  Anthony Hopkins
2398:  Ardal O'Hanlon
2399:  Application programming interface
2400:  Advanced Micro Devices
2402:  Albrecht Dürer
2403:  Australian rules football
2405:  Aon Corporation
2406:  Alban Berg
2408:  Analytical chemistry
2409:  Agricultural engineering
2411:  A cappella
2412:  Augmentation
2416:  Athanasian Creed
2417:  Alicante
2418:  August 4
2421:  Albrecht Achilles
2422:  Ann Widdecombe
2425:  Aurangzeb
2427:  Alexandrine
2428:  Analog computer
2429:  Audio
2431:  Minute of arc
2433:  Alberto Giacometti
2434:  Aristotles theory of universals
2439:  Anthem
2440:  Albrecht Altdorfer
2441:  House of Ascania
2442:  Arthropod
2443:  Acceleration
2444:  Conservation-restoration
2447:  Anton Chekhov
2448:  Action Against Hunger
2452:  AW
2457:  Apoptosis
2459:  Appomattox
2460:  Anal sex
2466:  Aarau
2467:  Aargau
2470:  Aba
2471:  Ababda
2472:  American Quarter Horse
2473:  Abacá
2474:  Abaddon
2475:  Abadeh
2476:  Abae
2477:  Abakan
2478:  Abana River
2482:  Arc de Triomphe
2483:  April 21
2484:  ATM
2487:  Amazonite
2490:  Ambrosius Bosschaert
2493:  Anthroposophy
2494:  Aurochs
2499:  Asynchronous Transfer Mode
2500:  Anus
2501:  Appendix
2502:  Acantharea
2503:  African National Congress
2504:  Amphetamine
2506:  Asynchronous communication
2508:  Artillery
2510:  Arnulf of Carinthia
2511:  Alexanderplatz
2512:  Asian Development Bank
2514:  Aswan
2519:  Adelaide of Italy
2520:  Addition of natural numbers
2524:  Airbus A300
2526:  Agostino Carracci
2528:  Adenylate cyclase
2529:  Alexandra
2536:  Articolo 31
2539:  Aromatherapy
2543:  Alexander Kerensky
2544:  Ansgar
2546:  Automated theorem proving
2547:  Agent Orange
2551:  Astronomical year numbering
2552:  Adam of Bremen
2553:  Ab urbe condita
2558:  ARY Group
2559:  Arapawa Island
2560:  Administrative law
2563:  Arthur Phillip
2564:  April 10
2573:  Angus
2574:  Apache (disambiguation)
2575:  André the Giant
2577:  Adrastea (moon)
2578:  Amalthea
2580:  Ananke
2581:  Apache HTTP Server
2582:  Alph
2583:  Arbroath Abbey
2593:  Accountancy
2594:  Ant
2597:  Arbitration in the United States of America
2598:  Adversarial system
2599:  Aa
2602:  Abano Terme
2605:  Abati
2606:  Abatis
2607:  Antoine Thomson d'Abbadie
2608:  Abba Mari
2609:  Abbas II of Egypt
2610:  Abbas Mirza
2613:  George Abbot (archbishop)
2616:  Adware
2618:  Aeacus
2619:  Aeclanum
2620:  Aedesius
2621:  Aedicula
2622:  Aedui
2623:  Aegadian Islands
2624:  Aegean civilization
2626:  Aegeus
2627:  Aegina
2628:  Aegis
2629:  Aegisthus
2630:  Aegospotami
2632:  Aelia Capitolina
2633:  Aelian
2634:  Aelianus Tacticus
2637:  Atomic absorption spectroscopy
2639:  Arthur St. Clair
2640:  Ajaccio
2641:  Ajaigarh
2642:  Ajanta Caves
2645:  Ajmer
2646:  Ajmer-Merwara
2654:  Abatement of debts and legacies
2661:  Affection
2662:  Affiliation
2663:  Affinity
2665:  Affray
2667:  Afghan Turkestan
2668:  Afyonkarahisar
2670:  Abba Arika
2671:  Abbahu
2673:  Abbreviator
2674:  Abd-el-latif
2675:  Abd-ar-rahman
2676:  Abd ar-Rahman I
2677:  Abd ar-Rahman II
2678:  Abd-ar-Rahman III
2679:  Abd ar-Rahman IV
2680:  Abd ar-Rahman V
2681:  Abdülaziz
2684:  Abdera, Spain
2685:  Abdera, Thrace
2686:  Apollos
2687:  Acquis communautaire
2688:  Air engine
2690:  Antidiarrhoeal
2691:  Áed of Scotland
2692:  Abdul Hamid I
2695:  Abdur Rahman Khan
2696:  Abencerrages
2699:  Aberavon (UK Parliament constituency)
2700:  Abercarn
2701:  Aberdare
2702:  Aberration
2703:  Aberration of light
2704:  Optical aberration
2705:  Amy Grant
2707:  Arthur William à Beckett
2709:  Aberdeen, South Dakota
2710:  Au
2712:  Aberdour
2714:  Aberfoyle, Stirling
2715:  Abergavenny
2716:  Abersychan
2717:  Abertillery
2719:  Abettor
2722:  Anders Celsius
2723:  Adam Carolla
2724:  Autocorrelation
2726:  Atlas Autocode
2728:  Aberfan disaster
2732:  Au file format
2733:  April 25
2734:  April 24
2735:  April 7
2736:  Andalusia
2738:  Abhidharma
2739:  Abhorrers
2740:  Abiathar
2741:  Abigail
2742:  Abila
2745:  Azad Kashmir
2747:  Arabian Sea
2749:  Aria Giovanni
2752:  Aspartame
2753:  AutoCAD
2754:  AutoCAD DXF
2756:  Asexual reproduction
2758:  Aelbert Cuyp
2761:  Alkene
2762:  Allene
2763:  Alkyne
2764:  AbiWord
2766:  Ames test
